unit,unit_std
stiele,stalk
stk,piece
stock cubes,cube
strand,
strands,
strends,
string,
strip,strip
strips,strip
t,teaspoon
t.,teaspoon
tab,
tabelspoon,tablespoon
tabelspoons,tablespoon
tabl,
table,
table spoons,tablespoon
tablelspoon,tablespoon
tablepsoons,tablespoon
tablespoon,tablespoon
tablespoonful,
tablespoonfuls,
tablespoons,tablespoon
tablespoonsful,
tablesppons,tablespoon
tablet,
tablets,
tablspoon,tablespoon
takjes,sprig
talespoon,tablespoon
taplespoon,tablespoon
tblps,
tbls,tablespoon
tblsp,tablespoon
tblsps,
tbos,tablespoon
tbps,tablespoon
tbs,tablespoon
tbsb,tablespoon
tbsl,tablespoon
tbslp,tablespoon
tbsp,tablespoon
tbsps,tablespoon
tea bag,
tea bags,
tea spoon,teaspoon
teabags,
teacup,cup
teapoon,teaspoon
teapsoon,teaspoon
teasoon,teaspoon
teasp,teaspoon
teasponn,teaspoon
teaspoon,teaspoon
teaspoonful,
teaspoons,teaspoon
teaspooon,teaspoon
teen,
teentjes,
tesapoon,teaspoon
tespoon,teaspoon
thigh,
thighs,
thread,
threads,
thsp,teaspoon
thumb,pinch
thumb-piece,pinch
thumbs,pinch
tin,tin
tins,tin
tl,teaspoon
tlbs,
toasts,
topf,pan
tortilla,
tortillas,
touch,dash
tps,teaspoon
tpsp,teaspoon
tray,tray
trays,tray
ts,
tsb,
tsk,teaspoon
tsp,teaspoon
tspn,teaspoon
tsps,teaspoon
tst,teaspoon
tub,tub
tube,tube
tubes,tube
tubs,tub
turn,
turns,
tvsp,teaspoon
twelve-ounce can,can
twigs,branch
twist,
twists,
unit,count
units,count
wafers,
waffles,
wedge,wedge
wedges,wedge
wheel,wheel
wheels,wheel
whole,
wineglass,cup
wineglasses,cup
wings,
wrap,
wrappers,
wraps,
yard,yard
yards,yard
zakje,bag
zehe,clove
zehen,clove
zest,
